[2025-07-21 21:00:22,535] 148 numexpr.utils - INFO - Note: NumExpr detected 12 cores but "NUMEXPR_MAX_THREADS" not set, so enforcing safe limit of 8.
[2025-07-21 21:00:22,535] 160 numexpr.utils - INFO - NumExpr defaulting to 8 threads.
[2025-07-21 21:00:26,211] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[2025-07-21 21:00:26,224] 107 dagshub - INFO - Accessing as Abhinaytechie
[2025-07-21 21:00:26,626] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/repos/Abhinaytechie/network-security "HTTP/1.1 200 OK"
[2025-07-21 21:00:26,978] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[2025-07-21 21:00:26,980] 107 dagshub - INFO - Initialized MLflow to track repo "Abhinaytechie/network-security"
[2025-07-21 21:00:26,982] 107 dagshub - INFO - Repository Abhinaytechie/network-security initialized!
[2025-07-21 21:00:26,982] 17 root - INFO - Intitiate the data ingestion
[2025-07-21 21:00:28,686] 58 root - INFO - Performed train test split on the dataframe
[2025-07-21 21:00:28,686] 60 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2025-07-21 21:00:28,687] 68 root - INFO - Exporting train and test file path.
[2025-07-21 21:00:28,729] 77 root - INFO - Exported train and test file path.
[2025-07-21 21:00:28,730] 20 root - INFO - Data Intitation Completed
[2025-07-21 21:00:28,734] 23 root - INFO - Initiate the data Validation
[2025-07-21 21:00:28,750] 33 root - INFO - Reuired number of columns:2
[2025-07-21 21:00:28,750] 34 root - INFO - Data frame has columns:31
[2025-07-21 21:00:28,750] 33 root - INFO - Reuired number of columns:2
[2025-07-21 21:00:28,750] 34 root - INFO - Data frame has columns:31
[2025-07-21 21:00:28,857] 25 root - INFO - data Validation Completed
[2025-07-21 21:00:28,857] 28 root - INFO - data Transformation started
[2025-07-21 21:00:28,857] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[2025-07-21 21:00:28,857] 65 root - INFO - Starting data transformation
[2025-07-21 21:00:28,873] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[2025-07-21 21:00:28,873] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2025-07-21 21:00:28,892] 46 root - INFO - Entered the save_object method of MainUtils class
[2025-07-21 21:00:28,894] 50 root - INFO - Exited the save_object method of MainUtils class
[2025-07-21 21:00:28,894] 46 root - INFO - Entered the save_object method of MainUtils class
[2025-07-21 21:00:28,898] 50 root - INFO - Exited the save_object method of MainUtils class
[2025-07-21 21:00:28,899] 32 root - INFO - data Transformation completed
[2025-07-21 21:00:28,899] 33 root - INFO - Model Training sstared
[2025-07-21 21:04:21,762] 46 root - INFO - Entered the save_object method of MainUtils class
[2025-07-21 21:04:21,764] 50 root - INFO - Exited the save_object method of MainUtils class
[2025-07-21 21:04:21,765] 46 root - INFO - Entered the save_object method of MainUtils class
[2025-07-21 21:04:21,840] 50 root - INFO - Exited the save_object method of MainUtils class
[2025-07-21 21:04:21,840] 136 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\07_21_2025_21_00_22\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9908256880733946, precision_score=0.9878048780487805, recall_score=0.9938650306748467), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9808518952715904, precision_score=0.9713622291021672, recall_score=0.9905288082083662))
[2025-07-21 21:04:21,846] 38 root - INFO - Model Training artifact created
